OrderID,DateTime,Shift,DayType,DayOfWeek,PartySize,Category,MenuItem,ItemPrice,ItemQty,Factor
17,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,1,Chicken specials,chicken korma,18.0,1,1.0825082508250825
18,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,1,Rice specials,chicken biryani,19.0,2,1.0825082508250825
19,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,1,Breads,onion kulcha,5.0,2,1.0825082508250825
20,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Starter,vegetable samosa,11.0,1,1.0825082508250825
21,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Starter,chaat papri,11.0,2,1.0825082508250825
22,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Vegetable specials,baingan bartha,16.0,1,1.0825082508250825
23,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Vegetable specials,malai kofta curry,16.0,2,1.0825082508250825
24,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Chicken specials,chicken saag,18.0,1,1.0825082508250825
25,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Rice specials,rice,5.0,1,1.0825082508250825
26,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Breads,garlic naan,3.5,2,1.0825082508250825
27,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Breads,tandoori roti,2.75,2,1.0825082508250825
28,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Desserts,gulab jamun,6.0,1,1.0825082508250825
29,2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Desserts,carrot halwa,7.0,1,1.0825082508250825
30,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Vegetable specials,kadhai paneer,16.0,1,1.0825082508250825
31,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Lamb specialties,lamb karahi,19.0,1,1.0825082508250825
32,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Breads,aloo paratha,5.0,1,1.0825082508250825
33,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Breads,garlic naan,3.5,1,1.0825082508250825
34,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Desserts,rasmalai,6.0,1,1.0825082508250825
35,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,1,Vegetable specials,malai kofta curry,16.0,2,1.0825082508250825
36,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,1,Chicken specials,chicken saag,18.0,2,1.0825082508250825
37,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,1,Rice specials,rice,5.0,2,1.0825082508250825
38,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,1,Breads,garlic naan,3.5,2,1.0825082508250825
39,2019-01-01 12:10:00,Lunch,Weekday,Tuesday,1,Breads,tandoori roti,2.75,1,1.0825082508250825
40,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Starter,vegetable pakora,11.0,1,1.0825082508250825
41,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Starter,hara bhara kebabs,16.0,1,1.0825082508250825
42,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Vegetable specials,shahi paneer korma,16.0,1,1.0825082508250825
43,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Vegetable specials,yellow dal fry,15.0,1,1.0825082508250825
44,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Rice specials,rice,5.0,1,1.0825082508250825
45,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Breads,onion kulcha,5.0,1,1.0825082508250825
46,2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Breads,garlic naan,3.5,1,1.0825082508250825
47,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,fish korma,16.0,1,1.0825082508250825
48,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,kadhai paneer,16.0,1,1.0825082508250825
49,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Chicken specials,coconut chicken curry,18.0,1,1.0825082508250825
50,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Chicken specials,butter chicken,18.0,1,1.0825082508250825
51,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Breads,paratha,5.0,2,1.0825082508250825
52,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Breads,naan,2.75,2,1.0825082508250825
53,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Breads,tandoori roti,2.75,1,1.0825082508250825
54,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Desserts,rasmalai,6.0,2,1.0825082508250825
55,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Desserts,gulab jamun,6.0,1,1.0825082508250825
56,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Desserts,carrot halwa,7.0,1,1.0825082508250825
57,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,1,Vegetable specials,kadhai paneer,16.0,2,1.0825082508250825
58,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,1,Chicken specials,coconut chicken curry,18.0,1,1.0825082508250825
59,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,1,Chicken specials,butter chicken,18.0,2,1.0825082508250825
60,2019-01-01 12:30:00,Lunch,Weekday,Tuesday,1,Breads,paratha,5.0,3,1.0825082508250825
61,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Starter,indian fish pakoras,14.0,2,1.0825082508250825
62,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Starter,shrimp,15.0,2,1.0825082508250825
63,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Seafood specialties,bhindi do piazza,19.0,1,1.0825082508250825
64,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Seafood specialties,fish curry,19.0,2,1.0825082508250825
65,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Rice specials,rice,5.0,1,1.0825082508250825
66,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Breads,garlic naan,3.5,2,1.0825082508250825
67,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Breads,naan,2.75,1,1.0825082508250825
68,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Desserts,malpua,8.0,1,1.0825082508250825
69,2019-01-01 18:30:00,Dinner,Weekday,Tuesday,3,Desserts,kheer,7.0,2,1.0825082508250825
70,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Starter,gobi manchurian,14.0,2,1.0825082508250825
71,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Starter,flatbread,11.0,2,1.0825082508250825
72,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Starter,crispy chicken sliders,15.0,1,1.0825082508250825
73,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Starter,spicy chicken bites,14.0,1,1.0825082508250825
74,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Vegetable specials,sarson ka saag,15.0,1,1.0825082508250825
75,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Vegetable specials,curry vindaloo,16.0,1,1.0825082508250825
76,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Vegetable specials,baingan bartha,16.0,1,1.0825082508250825
77,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Chicken specials,chicken tikka masala,18.0,1,1.0825082508250825
78,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Chicken specials,butter chicken,18.0,1,1.0825082508250825
79,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Rice specials,chicken rice bowl,18.0,2,1.0825082508250825
80,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Breads,onion kulcha,5.0,1,1.0825082508250825
81,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Breads,spinach naan,6.0,1,1.0825082508250825
82,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Breads,garlic naan,3.5,3,1.0825082508250825
83,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Breads,tandoori roti,2.75,2,1.0825082508250825
84,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Desserts,rasmalai,6.0,1,1.0825082508250825
85,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Desserts,kheer,7.0,1,1.0825082508250825
86,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Desserts,gulab jamun,6.0,2,1.0825082508250825
87,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Desserts,malpua,8.0,1,1.0825082508250825
88,2019-01-01 19:00:00,Dinner,Weekday,Tuesday,5,Desserts,carrot halwa,7.0,1,1.0825082508250825
89,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,2,Starter,vegetable pakora,11.0,1,1.0825082508250825
90,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,2,Chicken specials,butter chicken,18.0,1,1.0825082508250825
91,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,2,Seafood specialties,fish curry,19.0,1,1.0825082508250825
92,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,2,Rice specials,rice,5.0,1,1.0825082508250825
93,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,2,Breads,garlic naan,3.5,2,1.0825082508250825
94,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,2,Breads,naan,2.75,1,1.0825082508250825
95,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,1,Starter,vegetable pakora,11.0,2,1.0825082508250825
96,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,1,Chicken specials,butter chicken,18.0,3,1.0825082508250825
97,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,1,Seafood specialties,fish curry,19.0,2,1.0825082508250825
98,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,1,Rice specials,rice,5.0,1,1.0825082508250825
99,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,1,Breads,garlic naan,3.5,2,1.0825082508250825
100,2019-01-01 20:30:00,Dinner,Weekday,Tuesday,1,Breads,naan,2.75,4,1.0825082508250825
101,2019-01-02 11:30:00,Lunch,Weekend,Wednesday,3,Breads,onion kulcha,5.0,1,0.7128712871287128
102,2019-01-02 11:30:00,Lunch,Weekend,Wednesday,3,Rice specials,rice,5.0,1,0.7128712871287128
103,2019-01-02 11:30:00,Lunch,Weekend,Wednesday,3,Starter,flatbread,11.0,2,0.7128712871287128
104,2019-01-02 11:30:00,Lunch,Weekend,Wednesday,3,Chicken specials,chicken tikka masala,18.0,1,0.7128712871287128
105,2019-01-02 11:30:00,Lunch,Weekend,Wednesday,3,Vegetable specials,shahi paneer korma,16.0,1,0.7128712871287128
106,2019-01-02 11:30:00,Lunch,Weekend,Wednesday,3,Desserts,malpua,8.0,1,0.7128712871287128
107,2019-01-02 11:40:00,Lunch,Weekend,Wednesday,4,Rice specials,rice,5.0,1,0.7128712871287128
108,2019-01-02 11:40:00,Lunch,Weekend,Wednesday,4,Vegetable specials,fish korma,16.0,1,0.7128712871287128
109,2019-01-02 11:40:00,Lunch,Weekend,Wednesday,4,Desserts,rasmalai,6.0,2,0.7128712871287128
110,2019-01-02 11:40:00,Lunch,Weekend,Wednesday,4,Desserts,carrot halwa,7.0,1,0.7128712871287128
111,2019-01-02 11:40:00,Lunch,Weekend,Wednesday,4,Starter,vegetable pakora,11.0,1,0.7128712871287128
112,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,3,Starter,shrimp,15.0,2,0.7128712871287128
113,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,3,Desserts,rasmalai,6.0,1,0.7128712871287128
114,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,3,Vegetable specials,baingan bartha,16.0,1,0.7128712871287128
115,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,3,Breads,naan,2.75,2,0.7128712871287128
116,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,1,Vegetable specials,malai kofta curry,16.0,2,0.7128712871287128
117,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,1,Chicken specials,butter chicken,18.0,3,0.7128712871287128
118,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,1,Chicken specials,chicken saag,18.0,2,0.7128712871287128
119,2019-01-02 11:50:00,Lunch,Weekend,Wednesday,1,Rice specials,chicken biryani,19.0,2,0.7128712871287128
120,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Breads,naan,2.75,1,0.7128712871287128
121,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Starter,hara bhara kebabs,16.0,1,0.7128712871287128
122,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Breads,paratha,5.0,2,0.7128712871287128
123,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Breads,tandoori roti,2.75,1,0.7128712871287128
124,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Desserts,carrot halwa,7.0,1,0.7128712871287128
125,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Vegetable specials,malai kofta curry,16.0,2,0.7128712871287128
126,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Desserts,gulab jamun,6.0,1,0.7128712871287128
127,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Chicken specials,butter chicken,18.0,1,0.7128712871287128
128,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Desserts,carrot halwa,7.0,1,0.7128712871287128
129,2019-01-02 12:05:00,Lunch,Weekend,Wednesday,5,Seafood specialties,fish curry,19.0,2,0.7128712871287128
130,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,3,Starter,flatbread,11.0,1,0.7128712871287128
131,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,3,Vegetable specials,kadhai paneer,16.0,1,0.7128712871287128
132,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,3,Starter,chaat papri,11.0,2,0.7128712871287128
133,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,3,Breads,garlic naan,3.5,2,0.7128712871287128
134,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,3,Rice specials,chicken biryani,19.0,1,0.7128712871287128
135,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,1,Chicken specials,chicken korma,18.0,1,0.7128712871287128
136,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,1,Rice specials,rice,5.0,2,0.7128712871287128
137,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,1,Starter,vegetable pakora,11.0,2,0.7128712871287128
138,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,1,Starter,chicken triangles,14.0,2,0.7128712871287128
139,2019-01-02 12:10:00,Lunch,Weekend,Wednesday,1,Chicken specials,butter chicken,18.0,2,0.7128712871287128
140,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Vegetable specials,baingan bartha,16.0,1,0.7128712871287128
141,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Breads,garlic naan,3.5,1,0.7128712871287128
142,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Rice specials,chicken rice bowl,18.0,2,0.7128712871287128
143,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Chicken specials,chicken saag,18.0,1,0.7128712871287128
144,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Desserts,malpua,8.0,1,0.7128712871287128
145,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Chicken specials,coconut chicken curry,18.0,1,0.7128712871287128
146,2019-01-02 12:20:00,Lunch,Weekend,Wednesday,3,Starter,vegetable pakora,11.0,1,0.7128712871287128
147,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Chicken specials,butter chicken,18.0,1,0.7128712871287128
148,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Lamb specialties,lamb karahi,19.0,1,0.7128712871287128
149,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Breads,aloo paratha,5.0,1,0.7128712871287128
150,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Desserts,kheer,7.0,2,0.7128712871287128
151,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Vegetable specials,yellow dal fry,15.0,1,0.7128712871287128
152,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Breads,tandoori roti,2.75,2,0.7128712871287128
153,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Desserts,kheer,7.0,1,0.7128712871287128
154,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Breads,garlic naan,3.5,3,0.7128712871287128
155,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Breads,tandoori roti,2.75,2,0.7128712871287128
156,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,5,Seafood specialties,fish curry,19.0,1,0.7128712871287128
157,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,1,Seafood specialties,fish curry,19.0,2,0.7128712871287128
158,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,1,Breads,paratha,5.0,3,0.7128712871287128
159,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,1,Chicken specials,coconut chicken curry,18.0,1,0.7128712871287128
160,2019-01-02 12:30:00,Lunch,Weekend,Wednesday,1,Breads,garlic naan,3.5,2,0.7128712871287128
161,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Starter,vegetable samosa,11.0,1,0.7128712871287128
162,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Breads,onion kulcha,5.0,2,0.7128712871287128
163,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Starter,spicy chicken bites,14.0,1,0.7128712871287128
164,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Starter,crispy chicken sliders,15.0,1,0.7128712871287128
165,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Rice specials,rice,5.0,1,0.7128712871287128
166,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Vegetable specials,curry vindaloo,16.0,1,0.7128712871287128
167,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Starter,gobi manchurian,14.0,1,0.7128712871287128
168,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Breads,garlic naan,3.5,2,0.7128712871287128
169,2019-01-02 18:30:00,Dinner,Weekend,Wednesday,4,Breads,naan,2.75,2,0.7128712871287128
170,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,onion kulcha,5.0,1,0.7128712871287128
171,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Desserts,malpua,8.0,1,0.7128712871287128
172,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,garlic naan,3.5,2,0.7128712871287128
173,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,garlic naan,3.5,2,0.7128712871287128
174,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,naan,2.75,1,0.7128712871287128
175,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Chicken specials,chicken korma,18.0,1,0.7128712871287128
176,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Chicken specials,butter chicken,18.0,1,0.7128712871287128
177,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,garlic naan,3.5,1,0.7128712871287128
178,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Starter,spicy chicken wings,14.0,1,0.7128712871287128
179,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Starter,gobi manchurian,14.0,2,0.7128712871287128
180,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Desserts,gulab jamun,6.0,2,0.7128712871287128
181,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Starter,indian fish pakoras,14.0,2,0.7128712871287128
182,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Rice specials,rice,5.0,1,0.7128712871287128
183,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Desserts,gulab jamun,6.0,1,0.7128712871287128
184,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Seafood specialties,bhindi do piazza,19.0,1,0.7128712871287128
185,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Vegetable specials,sarson ka saag,15.0,1,0.7128712871287128
186,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,garlic naan,3.5,2,0.7128712871287128
187,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Breads,spinach naan,6.0,1,0.7128712871287128
188,2019-01-02 19:00:00,Dinner,Weekend,Wednesday,5,Vegetable specials,curry vindaloo,16.0,1,0.7128712871287128
189,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,2,Starter,chicken triangles,14.0,1,0.7128712871287128
190,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,2,Chicken specials,chicken tikka masala,18.0,1,0.7128712871287128
191,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,2,Desserts,rasmalai,6.0,1,0.7128712871287128
192,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,2,Vegetable specials,sarson ka saag,15.0,1,0.7128712871287128
193,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,2,Desserts,gulab jamun,6.0,1,0.7128712871287128
194,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,2,Vegetable specials,kadhai paneer,16.0,1,0.7128712871287128
195,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,1,Breads,onion kulcha,5.0,2,0.7128712871287128
196,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,1,Rice specials,rice,5.0,1,0.7128712871287128
197,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,1,Breads,tandoori roti,2.75,1,0.7128712871287128
198,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,1,Breads,naan,2.75,4,0.7128712871287128
199,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,1,Vegetable specials,kadhai paneer,16.0,2,0.7128712871287128
200,2019-01-02 20:30:00,Dinner,Weekend,Wednesday,1,Breads,garlic naan,3.5,2,0.7128712871287128
201,2019-01-03 11:30:00,Lunch,Weekday,Thursday,4,Starter,gobi manchurian,14.0,1,0.8448844884488449
202,2019-01-03 11:30:00,Lunch,Weekday,Thursday,4,Starter,flatbread,11.0,1,0.8448844884488449
203,2019-01-03 11:30:00,Lunch,Weekday,Thursday,4,Vegetable specials,sarson ka saag,15.0,1,0.8448844884488449
204,2019-01-03 11:30:00,Lunch,Weekday,Thursday,4,Vegetable specials,curry vindaloo,16.0,1,0.8448844884488449
205,2019-01-03 11:30:00,Lunch,Weekday,Thursday,4,Breads,garlic naan,3.5,2,0.8448844884488449
206,2019-01-03 11:30:00,Lunch,Weekday,Thursday,4,Breads,naan,2.75,2,0.8448844884488449
207,2019-01-03 11:40:00,Lunch,Weekday,Thursday,3,Starter,spicy chicken wings,14.0,1,0.8448844884488449
208,2019-01-03 11:40:00,Lunch,Weekday,Thursday,3,Starter,chicken triangles,14.0,1,0.8448844884488449
209,2019-01-03 11:40:00,Lunch,Weekday,Thursday,3,Chicken specials,chicken korma,18.0,1,0.8448844884488449
210,2019-01-03 11:40:00,Lunch,Weekday,Thursday,3,Rice specials,chicken biryani,19.0,1,0.8448844884488449
211,2019-01-03 11:40:00,Lunch,Weekday,Thursday,3,Breads,onion kulcha,5.0,2,0.8448844884488449
212,2019-01-03 11:50:00,Lunch,Weekday,Thursday,2,Chicken specials,chicken tikka masala,18.0,1,0.8448844884488449
213,2019-01-03 11:50:00,Lunch,Weekday,Thursday,2,Breads,garlic naan,3.5,2,0.8448844884488449
214,2019-01-03 11:50:00,Lunch,Weekday,Thursday,2,Desserts,gulab jamun,6.0,1,0.8448844884488449
215,2019-01-03 11:50:00,Lunch,Weekday,Thursday,2,Desserts,malpua,8.0,1,0.8448844884488449
216,2019-01-03 11:50:00,Lunch,Weekday,Thursday,1,Starter,chicken triangles,14.0,2,0.8448844884488449
217,2019-01-03 11:50:00,Lunch,Weekday,Thursday,1,Chicken specials,chicken korma,18.0,1,0.8448844884488449
218,2019-01-03 11:50:00,Lunch,Weekday,Thursday,1,Rice specials,chicken biryani,19.0,2,0.8448844884488449
219,2019-01-03 11:50:00,Lunch,Weekday,Thursday,1,Breads,onion kulcha,5.0,2,0.8448844884488449
220,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Starter,vegetable samosa,11.0,1,0.8448844884488449
221,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Starter,chaat papri,11.0,2,0.8448844884488449
222,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Vegetable specials,baingan bartha,16.0,1,0.8448844884488449
223,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Vegetable specials,malai kofta curry,16.0,2,0.8448844884488449
224,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Chicken specials,chicken saag,18.0,1,0.8448844884488449
225,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Rice specials,rice,5.0,1,0.8448844884488449
226,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Breads,garlic naan,3.5,2,0.8448844884488449
227,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Breads,tandoori roti,2.75,2,0.8448844884488449
228,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Desserts,gulab jamun,6.0,1,0.8448844884488449
229,2019-01-03 12:05:00,Lunch,Weekday,Thursday,5,Desserts,carrot halwa,7.0,1,0.8448844884488449
230,2019-01-03 12:10:00,Lunch,Weekday,Thursday,2,Vegetable specials,kadhai paneer,16.0,1,0.8448844884488449
231,2019-01-03 12:10:00,Lunch,Weekday,Thursday,2,Lamb specialties,lamb karahi,19.0,1,0.8448844884488449
232,2019-01-03 12:10:00,Lunch,Weekday,Thursday,2,Breads,aloo paratha,5.0,1,0.8448844884488449
